Species,Date,Site,Array,year
Aspidoscelis_neomexicanus,6/3/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,6/4/2021,Sevilleta_blue_grama,3,2021
Aspidoscelis_neomexicanus,6/4/2021,Sevilleta_blue_grama,3,2021
Aspidoscelis_neomexicanus,6/4/2021,Sevilleta_blue_grama,3,2021
Plestiodon_obsoletus,6/5/2021,Sevilleta_blue_grama,3,2021
Aspidoscelis_neomexicanus,6/5/2021,Sevilleta_blue_grama,1,2021
Aspidoscelis_inornatus,6/7/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,6/7/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,6/8/2021,Sevilleta_blue_grama,1,2021
Aspidoscelis_neomexicanus,6/8/2021,Sevilleta_blue_grama,3,2021
Aspidoscelis_neomexicanus,6/8/2021,Sevilleta_blue_grama,4,2021
Aspidoscelis_neomexicanus,6/8/2021,Sevilleta_blue_grama,4,2021
Aspidoscelis_inornatus,6/8/2021,Sevilleta_blue_grama,4,2021
Aspidoscelis_neomexicanus,6/8/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_inornatus,6/9/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,6/9/2021,Sevilleta_blue_grama,3,2021
Aspidoscelis_neomexicanus,6/9/2021,Sevilleta_blue_grama,1,2021
Aspidoscelis_neomexicanus,6/9/2021,Sevilleta_blue_grama,1,2021
Aspidoscelis_neomexicanus,6/9/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,6/9/2021,Sevilleta_blue_grama,1,2021
Holbrookia_maculata,6/9/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,6/9/2021,Sevilleta_blue_grama,1,2021
Aspidoscelis_inornatus,6/10/2021,Sevilleta_blue_grama,1,2021
Aspidoscelis_neomexicanus,6/10/2021,Sevilleta_blue_grama,1,2021
Aspidoscelis_neomexicanus,6/10/2021,Sevilleta_blue_grama,3,2021
Aspidoscelis_neomexicanus,6/11/2021,Sevilleta_blue_grama,1,2021
Aspidoscelis_inornatus,6/11/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,6/11/2021,Sevilleta_blue_grama,4,2021
Plestiodon_obsoletus,6/11/2021,Sevilleta_blue_grama,3,2021
Aspidoscelis_inornatus,6/12/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,6/12/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,6/13/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,6/13/2021,Sevilleta_blue_grama,4,2021
Holbrookia_maculata,6/14/2021,Sevilleta_blue_grama,1,2021
Plestiodon_obsoletus,6/14/2021,Sevilleta_blue_grama,1,2021
Aspidoscelis_neomexicanus,6/14/2021,Sevilleta_blue_grama,2,2021
Aspidoscelis_neomexicanus,5/27/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_neomexicanus,5/27/2022,Sevilleta_blue_grama,2,2022
Aspidoscelis_neomexicanus,5/29/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_inornatus,5/29/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_neomexicanus,5/31/2022,Sevilleta_blue_grama,4,2022
Coluber_flagellum,6/1/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_neomexicanus,6/1/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_neomexicanus,6/1/2022,Sevilleta_blue_grama,1,2022
Aspidoscelis_neomexicanus,6/2/2022,Sevilleta_blue_grama,1,2022
Aspidoscelis_neomexicanus,6/2/2022,Sevilleta_blue_grama,4,2022
Aspidoscelis_inornatus,6/2/2022,Sevilleta_blue_grama,1,2022
Aspidoscelis_neomexicanus,6/2/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_neomexicanus,6/2/2022,Sevilleta_blue_grama,2,2022
Aspidoscelis_neomexicanus,6/2/2022,Sevilleta_blue_grama,4,2022
Holbrookia_maculata,6/3/2022,Sevilleta_blue_grama,2,2022
Aspidoscelis_neomexicanus,6/4/2022,Sevilleta_blue_grama,4,2022
Aspidoscelis_neomexicanus,6/4/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_neomexicanus,6/4/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_neomexicanus,5/24/2022,Sevilleta_blue_grama,3,2022
Pituophis_catenifer,5/24/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_neomexicanus,5/25/2022,Sevilleta_blue_grama,2,2022
Aspidoscelis_neomexicanus,5/25/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_neomexicanus,5/26/2022,Sevilleta_blue_grama,3,2022
Aspidoscelis_neomexicanus,5/26/2022,Sevilleta_blue_grama,2,2022
Aspidoscelis_neomexicanus,5/26/2022,Sevilleta_blue_grama,2,2022
Aspidoscelis_neomexicanus,5/26/2022,Sevilleta_blue_grama,2,2022
Aspidoscelis_neomexicanus,6/6/2022,Sevilleta_blue_grama,1,2022
