Species,Site,Date,Array,Time
Aspidoscelis_marmoratus,Jornada_mesquite,6/10/2022,6,midday
Uta_stansburiana,Jornada_mesquite,6/10/2022,2,midday
Uta_stansburiana,Jornada_mesquite,6/10/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,1,morning
Uta_stansburiana,Jornada_mesquite,6/11/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,6,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,6,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,4,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,4,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,2,morning
Uta_stansburiana,Jornada_mesquite,6/11/2022,2,midday
Uta_stansburiana,Jornada_mesquite,6/11/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,6,midday
Uta_stansburiana,Jornada_mesquite,6/12/2022,2,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/12/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/11/2022,6,evening
Uta_stansburiana,Jornada_mesquite,6/11/2022,4,evening
Aspidoscelis_marmoratus,Jornada_mesquite,6/12/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/12/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/12/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/12/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/12/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/12/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/12/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/12/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/12/2022,4,evening
Uta_stansburiana,Jornada_mesquite,6/12/2022,2,evening
Aspidoscelis_marmoratus,Jornada_mesquite,6/13/2022,5,morning
Aspidoscelis_neomexicanus,Jornada_mesquite,6/13/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/13/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/13/2022,6,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/15/2022,2,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/15/2022,3,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/15/2022,4,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/15/2022,5,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/15/2022,6,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/15/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/15/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/16/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/16/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/16/2022,2,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/16/2022,3,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/16/2022,3,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/16/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/16/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/16/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/16/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/16/2022,6,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/18/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/18/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite,6/18/2022,3,midday
Aspidoscelis_neomexicanus,Jornada_mesquite,6/19/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite,6/19/2022,2 (11?),evening
Aspidoscelis_marmoratus,Jornada_mesquite,6/19/2022,2 (11?),evening
Aspidoscelis_marmoratus,Jornada_mesquite,6/18/2022,4,midday
Uta_stansburiana,Jornada_mesquite,6/20/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/29/2022,2,evening
Aspidoscelis_neomexicanus,Jornada_mesquite-sage,6/29/2022,3,evening
Aspidoscelis_neomexicanus,Jornada_mesquite-sage,6/29/2022,3,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/29/2022,1,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/29/2022,5,evening
Uta_stansburiana,Jornada_mesquite-sage,6/29/2022,4,evening
Uta_stansburiana,Jornada_mesquite-sage,6/29/2022,4,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,2,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,2,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,2,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,3,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,4,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,4,morning
Uta_stansburiana,Jornada_mesquite-sage,6/30/2022,5,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,5,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,6,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,6,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,3,midday
Aspidoscelis_neomexicanus,Jornada_mesquite-sage,6/30/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,6,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,1,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,6/30/2022,4,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,5,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,2,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,1,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,2,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,4,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/1/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/3/2022,5,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/4/2022,2,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/4/2022,3,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/3/2022,3,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,3,midday
Aspidoscelis_neomexicanus,Jornada_mesquite-sage,7/5/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,4,midday
Coluber_flagellum,Jornada_mesquite-sage,7/5/2022,4,midday
Coluber_flagellum,Jornada_mesquite-sage,7/5/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,6,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,6,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,6,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/5/2022,4,evening
Uta_stansburiana,Jornada_mesquite-sage,7/6/2022,1,morning
Uta_stansburiana,Jornada_mesquite-sage,7/6/2022,6,morning
Uta_stansburiana,Jornada_mesquite-sage,7/6/2022,4,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,6,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,3,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,4,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,4,evening
Aspidoscelis_neomexicanus,Jornada_mesquite-sage,7/6/2022,5,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,6,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,6,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,6,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,6,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,2,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,2,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/6/2022,1,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/7/2022,6,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/7/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/7/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/7/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/7/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/7/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/7/2022,1,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/8/2022,3,midday
Coluber_flagellum,Jornada_mesquite-sage,7/8/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/8/2022,3,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/8/2022,5,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/8/2022,1,evening
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/9/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/9/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/9/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/9/2022,1,evening
Uta_stansburiana,Jornada_mesquite-sage,7/9/2022,3,evening
Uta_stansburiana,Jornada_mesquite-sage,7/10/2022,4,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/10/2022,6,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/10/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/10/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/10/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/10/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/10/2022,1,midday
Gambelia_wislizeni,Jornada_mesquite-sage,7/10/2022,4,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/11/2022,2,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/11/2022,4,morning
Arizona_elegans,Jornada_mesquite-sage,7/11/2022,4,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/11/2022,6,morning
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/11/2022,6,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/11/2022,6,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/11/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/11/2022,5,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/11/2022,3,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/11/2022,2,midday
Aspidoscelis_marmoratus,Jornada_mesquite-sage,7/11/2022,1,midday
